GEOID,2023 Median Household Income
471251021.0,41733
471259801.0,0
471279301.0,73092
471279302.0,62379
471319650.0,54646
471319651.0,57015
471319654.0,51019
471319655.0,36092
471319656.0,27508
471319657.0,46668
471319658.0,74212
471319659.0,46353
471339501.0,47440
471339502.0,42387
471339503.01,32957
471339503.02,38138
471339504.0,53907
471339505.01,49178
471339505.02,62039
471339506.0,40539
471359301.0,50501
471359302.01,53140
471359302.02,65530
471379251.01,51935
471379251.02,34719
471410001.0,57515
471410002.01,59163
471410002.02,40571
471410003.01,65242
471410003.03,60227
471410003.04,29446
471410003.05,45350
471410004.0,71272
471410005.0,61058
471410006.0,72201
471410007.0,41756
471410008.0,33759
471410009.0,68885
471410010.0,67266
471410011.0,61531
471410012.01,70292
471410012.02,75315
471410013.0,74273
471439752.0,64223
471439753.0,50921
471439754.01,39597
471470801.01,77514
471470801.03,78457
471470801.04,74109
471470802.0,72633
471470803.01,54575
471470803.02,34843
471470804.01,49683
471470804.02,45920
471470805.0,73686
471470806.03,79795
471470806.04,76755
471470806.05,69587
471470806.06,70392
471470807.01,88150
471470807.02,101763
471490401.01,78646
471490401.02,76110
471490401.04,53849
471490401.05,76022
471490401.06,70736
471490401.07,76801
471490402.0,79491
471490403.03,58696
471490403.04,59134
471490403.05,35529
471490403.07,106174
471490403.08,67853
471490403.09,86529
471490403.1,69587
471490403.11,81623
471490403.12,80907
471490404.04,67277
471490404.05,55002
471490405.01,95597
471490405.02,85787
471490406.0,80621
471490407.02,93354
471490407.03,94874
471490407.04,90666
471490408.06,102864
471490408.07,101005
471490408.08,116523
471490408.09,78713
471490408.1,89032
471490408.11,117666
471490408.12,76435
471490409.01,62986
471490409.04,90482
471490409.06,83834
471490409.07,90426
471490409.08,76243
471490409.09,82142
471490409.1,66614
471490409.11,111244
471490410.0,104764
471490411.02,76574
471490411.03,101530
471490411.04,114378
471490412.01,101585
471490412.02,102401
471490413.01,134019
471490413.02,88504
471490414.01,87802
471490414.04,47613
471490414.05,50587
471490414.06,58451
471490414.07,64827
471490415.0,30000
471490416.01,53192
471490416.02,35778
471490417.0,55075
471490418.0,50494
471490419.0,43532
471490420.0,66317
471490421.01,41259
471490421.02,40877
471490422.0,71797
471490423.01,75947
471490423.02,85133
471530601.02,50418
471530601.03,41888
471530601.04,50951
471530602.0,63287
471599750.0,53442
471599751.0,44864
471599752.0,50480
471599753.0,54944
471599754.0,54128
471611102.01,58185
471611102.02,46372
471611106.0,52989
471611107.0,52923
471619801.0,0
471619802.0,0
471650201.01,55598
471650201.02,45508
471650202.03,64155
471650202.04,84914
471650202.05,61987
471650202.06,59552
471650202.07,50310
471650202.08,58149
471650202.09,65493
471650203.0,38753
471650204.03,90699
471650204.04,66606
471650204.05,58812
471650204.06,97999
471650204.07,84495
471650205.01,73177
471650205.02,107298
471650205.03,63040
471650206.01,74456
471650206.02,83226
471650206.03,76724
471650207.0,41009
471650208.0,38304
471650209.01,76659
471650209.03,61319
471650209.04,50522
471650209.05,53513
471650210.02,91249
471650210.04,62228
471650210.05,84359
471650210.06,105274
471650210.07,120500
471650210.08,110945
471650210.09,62504
