GEOID,2023-2028 Growth Rate: Owner Occ HUs
471119703.01,0.008100000000000001
471119703.02,0.0168
471119704.0,0.012
471130001.0,0.006999999999999999
471130002.0,0.006999999999999999
471130003.0,0.0066
471130004.0,0.0077
471130005.0,0.0113
471130006.0,0.0059
471130007.0,0.0197
471130008.0,0.0109
471130009.0,0.0049
471130010.0,0.0175
471130011.0,0.009300000000000001
471130013.0,0.0034999999999999996
471130014.01,0.0022
471130014.02,0.0072
471130015.01,0.0025
471130015.02,0.0049
471130016.03,0.0015
471130016.04,0.0024
471130016.05,0.0072
471130016.07,0.006500000000000001
471130016.08,0.0007000000000000001
471130016.09,0.0006
471130016.1,0.013600000000000001
471130016.11,0.0207
471130016.12,0.0086
471130017.0,0.0026
471130018.0,0.0015
471130019.0,0.0014000000000000002
471150501.01,-0.0025
471150501.02,0.0015
471150502.03,0.0019
471150503.02,0.0074
471179550.0,0.0152
471179551.0,0.0102
471179552.0,0.0154
471179553.0,0.0074
471179554.0,0.0048
471179555.0,0.0124
471190101.0,0.0086
471190102.01,0.0366
471190102.03,0.0106
471190102.04,0.024399999999999998
471190102.05,0.1537
471190103.01,0.0207
471190103.02,0.0048
471190104.01,0.0262
471190104.02,0.0246
471190105.0,0.019
471190106.0,0.008199999999999999
471190107.0,0.011699999999999999
471190108.01,0.0139
471190108.02,0.0124
471190109.0,0.0062
471190110.01,0.009300000000000001
471190110.03,0.0098
471190110.04,0.0049
471190111.01,0.0075
471190111.02,0.0116
471190112.0,0.013600000000000001
471251001.0,0.0213
471251002.0,0.011399999999999999
471251003.0,0.0155
471251005.0,0.015300000000000001
471251006.01,0.0085
471251006.02,0.0128
471251008.0,0.013300000000000001
471251009.0,0.0177
471251010.01,0.0141
471251010.02,0.0277
471251011.01,0.019799999999999998
471251011.02,0.016399999999999998
471251011.03,0.008199999999999999
471251012.01,0.019
471251012.02,0.024700000000000003
471251013.04,0.0297
471251013.05,0.015600000000000001
471251013.06,0.028300000000000002
471251013.07,0.0
471251013.08,0.005699999999999999
471251013.09,0.0182
471251014.0,0.0
471251015.01,0.018000000000000002
471251015.02,0.010700000000000001
471251016.0,0.016
471251017.01,0.0068000000000000005
471251017.02,0.0203
471251018.03,0.0060999999999999995
471251018.05,0.0323
471251018.06,0.0215
471251018.07,0.011000000000000001
471251018.08,0.0040999999999999995
471251019.02,0.0192
471251019.04,0.0052
471251019.05,0.0129
471251019.06,0.022400000000000003
471251020.01,0.0279
471251020.03,0.0384
471251020.04,0.028300000000000002
471251020.05,0.0203
471251020.07,0.0028000000000000004
471251020.08,0.0183
471251020.09,0.0262
471251020.1,0.0274
471251021.0,0.0196
471259801.0,0.0
471279301.0,0.0052
471279302.0,0.0076
471319650.0,0.0
471319651.0,0.0027
471319654.0,0.0002
471319655.0,0.0058
471319656.0,0.0060999999999999995
471319657.0,0.0043
471319658.0,-0.0007000000000000001
471319659.0,0.0
471339501.0,0.0098
471339502.0,-0.0009
471339503.01,0.0040999999999999995
471339503.02,-0.0023
471339504.0,0.0033
471339505.01,0.0101
471339505.02,-0.001
471339506.0,0.0131
471359301.0,0.0128
471359302.01,-0.001
471359302.02,0.0046
471379251.01,0.001
471379251.02,0.0029
471410001.0,0.019
471410002.01,0.0148
471410002.02,0.0115
471410003.01,0.005
471410003.03,0.0049
471410003.04,0.019
471410003.05,0.013999999999999999
471410004.0,0.0105
471410005.0,0.0317
471410006.0,0.0104
471410007.0,0.013500000000000002
471410008.0,0.0308
471410009.0,0.0106
471410010.0,0.005
471410011.0,0.009300000000000001
471410012.01,0.0105
471410012.02,0.0127
471410013.0,0.0005
471439752.0,0.011399999999999999
471439753.0,0.0063
471439754.01,0.002
471470801.01,0.006999999999999999
