GEOID,2023 Senior Population
471339506.0,598
471359301.0,833
471359302.01,673
471359302.02,574
471379251.01,923
471379251.02,532
471410001.0,1355
471410002.01,1270
471410002.02,1119
471410003.01,685
471410003.03,471
471410003.04,424
471410003.05,415
471410004.0,1127
471410005.0,392
471410006.0,1190
471410007.0,655
471410008.0,423
471410009.0,1130
471410010.0,799
471410011.0,1727
471410012.01,1365
471410012.02,925
471410013.0,470
471439752.0,1259
471439753.0,1178
471439754.01,1255
471470801.01,762
471470801.03,1130
471470801.04,1462
471470802.0,992
471470803.01,556
471470803.02,444
471470804.01,675
471470804.02,1159
471470805.0,909
471470806.03,944
471470806.04,866
471470806.05,471
471470806.06,1049
471470807.01,629
471470807.02,744
471490401.01,430
471490401.02,359
471490401.04,569
471490401.05,488
471490401.06,289
471490401.07,309
471490402.0,473
471490403.03,398
471490403.04,529
471490403.05,457
471490403.07,541
471490403.08,647
471490403.09,752
471490403.1,710
471490403.11,393
471490403.12,306
471490404.04,581
471490404.05,374
471490405.01,1057
471490405.02,1213
471490406.0,1086
471490407.02,1066
471490407.03,848
471490407.04,531
471490408.06,1610
471490408.07,1270
471490408.08,1492
471490408.09,616
471490408.1,615
471490408.11,773
471490408.12,472
471490409.01,908
471490409.04,791
471490409.06,651
471490409.07,1402
471490409.08,579
471490409.09,560
471490409.1,627
471490409.11,1063
471490410.0,1554
471490411.02,686
471490411.03,615
471490411.04,812
471490412.01,1095
471490412.02,754
471490413.01,1816
471490413.02,1431
471490414.01,679
471490414.04,345
471490414.05,170
471490414.06,725
471490414.07,475
471490415.0,0
471490416.01,394
471490416.02,587
471490417.0,869
471490418.0,532
471490419.0,520
471490420.0,1009
471490421.01,464
471490421.02,728
471490422.0,869
471490423.01,442
471490423.02,389
471530601.02,662
471530601.03,850
471530601.04,870
471530602.0,1065
471599750.0,795
471599751.0,651
471599752.0,1077
471599753.0,474
471599754.0,907
471611102.01,882
471611102.02,325
471611106.0,641
471611107.0,1291
471619801.0,0
471619802.0,0
471650201.01,704
471650201.02,906
471650202.03,425
471650202.04,563
471650202.05,276
471650202.06,252
471650202.07,368
471650202.08,452
471650202.09,533
471650203.0,721
471650204.03,451
471650204.04,450
471650204.05,755
471650204.06,516
471650204.07,676
471650205.01,2588
471650205.02,1147
471650205.03,705
471650206.01,825
471650206.02,860
471650206.03,840
471650207.0,1171
471650208.0,871
471650209.01,227
471650209.03,1415
471650209.04,490
471650209.05,735
471650210.02,1430
471650210.04,560
471650210.05,1270
471650210.06,560
471650210.07,517
471650210.08,1096
471650210.09,900
471650211.03,1125
471650211.04,453
471650211.05,789
471650211.06,1159
471650211.07,1266
471650212.01,1810
471650212.03,1901
471650212.04,1447
471650212.05,932
471690901.0,1264
471690902.0,597
471759250.0,809
471759252.0,840
471779301.0,772
471779302.01,719
471779302.02,655
471779303.0,617
471779304.0,1020
471779305.0,1048
471779306.0,882
471779307.0,1008
471779308.0,1182
471779309.0,399
471819501.0,647
471819502.0,1194
471819503.0,656
471819504.0,741
471839680.0,272
471839681.01,620
471839681.02,344
471839682.01,1084
471839682.02,104
471839682.03,394
471839683.0,480
471839684.0,1277
471839685.0,920
471839686.0,803
471839687.0,318
471859350.0,1137
471859351.0,1368
471859352.0,939
471859353.0,1222
471859354.0,895
471859355.0,811
471870501.02,1038
471870501.03,1815
471870501.04,664
471870501.05,827
471870502.04,689
471870502.05,907
471870502.06,460
471870502.07,628
471870502.09,528
471870502.1,617
471870502.11,1209
471870502.12,267
471870503.03,766
471870503.04,879
471870503.05,594
471870503.06,633
471870503.07,823
471870504.03,437
471870504.04,1159
471870504.05,778
471870504.06,1177
471870505.02,931
471870505.03,1135
471870505.04,543
471870506.01,818
471870506.03,456
471870506.04,1737
471870507.01,510
471870507.02,806
471870508.01,934
471870508.02,309
471870509.04,706
471870509.05,898
471870509.06,975
471870509.07,1252
471870509.08,923
471870509.09,867
471870510.01,1175
471870510.02,2373
471870511.0,2110
471870512.03,901
471870512.04,692
471870512.05,1061
471870512.06,608
471870512.07,536
471870512.08,702
471890301.02,1256
471890301.03,572
471890301.04,478
471890301.05,780
471890302.02,2646
471890302.03,1193
471890302.05,467
471890302.06,1344
471890302.07,416
471890303.03,858
471890303.04,1139
471890303.05,1042
471890303.08,369
471890303.09,1205
471890303.1,1257
471890303.11,693
471890304.01,531
471890304.02,735
471890305.0,1525
471890306.0,964
471890307.0,596
471890308.0,1430
471890309.04,822
471890309.05,943
471890309.06,998
471890309.07,1764
471890309.08,861
471890310.0,1165
