GEOID,2023 Population Density
470779752.0,47.9
470779753.01,311.5
470779753.02,174.0
470779754.0,119.5
470779755.0,34.8
470799690.01,66.5
470799690.02,34.5
470799691.0,28.7
470799692.0,19.6
470799693.0,233.6
470799694.0,1530.6
470799695.01,1089.1
470799695.02,714.4
470799696.01,78.4
470799696.02,85.5
470799697.0,29.0
470799698.0,26.6
470819501.0,58.5
470819502.01,64.2
470819502.02,214.2
470819503.01,25.0
470819503.02,80.7
470819504.0,13.4
470819505.0,24.5
470831201.0,34.6
470831202.0,59.8
470831203.0,41.1
470851301.0,51.6
470851302.0,19.6
470851303.0,135.0
470851304.0,11.7
470851305.0,80.7
470879601.0,15.9
470879602.0,34.9
470879603.0,76.7
470879604.0,37.3
470999601.0,83.8
470999602.0,23.4
470999603.0,80.2
470999604.01,320.3
470999604.02,198.4
470999605.01,270.5
470999605.02,89.8
470999606.0,25.5
470999607.0,66.7
470999608.0,61.6
471019701.0,25.6
471019702.0,92.5
471039750.0,18.6
471039751.0,27.5
471039752.0,22.1
471039753.0,195.4
471039754.0,117.5
471039755.0,58.7
471039757.0,42.2
471099301.0,48.7
471099302.0,35.6
471099303.0,35.5
471099304.0,44.2
471099305.01,31.8
471099305.02,173.5
471099306.0,35.2
471099307.0,42.1
471119701.0,52.5
471119702.0,93.7
471119703.01,507.5
471119703.02,74.6
471119704.0,76.1
471130001.0,787.1
471130002.0,1429.1
471130003.0,1180.0
471130004.0,1971.1
471130005.0,2772.5
471130006.0,3349.3
471130007.0,2612.3
471130008.0,1068.1
471130009.0,2134.9
471130010.0,1777.7
471130011.0,614.7
471130013.0,250.2
471130014.01,69.3
471130014.02,101.3
471130015.01,354.1
471130015.02,54.3
471130016.03,1710.7
471130016.04,1387.1
471130016.05,891.6
471130016.07,755.6
471130016.08,145.2
471130016.09,58.6
471130016.1,744.0
471130016.11,691.0
471130016.12,2802.6
471130017.0,16.4
471130018.0,29.1
471130019.0,56.1
471150501.01,40.6
471150501.02,69.0
471150502.03,30.6
471150503.02,23.4
471179550.0,126.1
471179551.0,60.6
471179552.0,104.4
471179553.0,1865.2
471179554.0,1233.2
471179555.0,37.3
471190101.0,37.2
471190102.01,254.7
471190102.03,653.3
471190102.04,1810.6
471190102.05,142.9
471190103.01,264.9
471190103.02,87.9
471190104.01,1249.1
471190104.02,354.9
471190105.0,446.2
471190106.0,1779.7
471190107.0,2655.1
471190108.01,1162.0
471190108.02,533.6
471190109.0,41.4
471190110.01,72.7
471190110.03,65.0
471190110.04,217.9
471190111.01,293.7
471190111.02,156.3
471190112.0,63.2
471251001.0,3767.7
471251002.0,1949.4
471251003.0,1447.5
471251005.0,1814.1
471251006.01,931.7
471251006.02,2746.6
471251008.0,2383.0
471251009.0,927.4
471251010.01,2795.6
471251010.02,1428.4
471251011.01,3307.8
471251011.02,2077.0
471251011.03,533.7
471251012.01,2583.6
471251012.02,1697.1
471251013.04,3013.3
471251013.05,1178.1
471251013.06,2663.6
471251013.07,3501.5
471251013.08,4415.1
471251013.09,4358.4
471251014.0,985.0
471251015.01,212.5
471251015.02,83.1
471251016.0,186.6
471251017.01,50.2
471251017.02,88.5
471251018.03,919.4
471251018.05,477.6
471251018.06,202.1
471251018.07,176.4
471251018.08,731.7
471251019.02,991.8
471251019.04,193.4
471251019.05,998.8
471251019.06,1308.5
471251020.01,1431.7
471251020.03,3340.8
471251020.04,2521.1
471251020.05,1679.2
471251020.07,1122.2
471251020.08,1941.9
471251020.09,3774.4
471251020.1,636.1
471251021.0,2262.8
471259801.0,5.5
471279301.0,55.6
471279302.0,45.0
471319650.0,75.9
471319651.0,53.0
471319654.0,54.4
471319655.0,176.4
471319656.0,555.6
471319657.0,726.7
471319658.0,22.0
471319659.0,21.3
471339501.0,21.8
471339502.0,35.9
471339503.01,152.9
471339503.02,68.5
471339504.0,40.7
471339505.01,105.9
471339505.02,79.1
471339506.0,26.2
471359301.0,22.8
471359302.01,33.2
471359302.02,13.5
471379251.01,35.2
471379251.02,25.5
471410001.0,66.2
471410002.01,373.5
471410002.02,245.1
471410003.01,228.8
471410003.03,877.1
471410003.04,2477.4
471410003.05,1148.5
471410004.0,1790.6
471410005.0,1477.4
471410006.0,1012.2
471410007.0,1270.2
471410008.0,3513.5
471410009.0,385.3
471410010.0,47.1
471410011.0,140.6
471410012.01,381.3
471410012.02,180.0
471410013.0,55.6
471439752.0,73.8
471439753.0,130.3
471439754.01,517.1
471470801.01,60.2
471470801.03,687.1
471470801.04,163.3
471470802.0,44.7
471470803.01,610.9
471470803.02,2119.4
471470804.01,1608.4
471470804.02,1386.7
471470805.0,136.8
471470806.03,147.8
471470806.04,331.4
471470806.05,350.4
471470806.06,463.3
471470807.01,64.9
471470807.02,135.1
471490401.01,811.2
471490401.02,1257.3
471490401.04,3123.9
471490401.05,2249.7
471490401.06,6308.4
471490401.07,5315.4
471490402.0,845.5
471490403.03,2379.0
471490403.04,2751.5
471490403.05,3724.6
471490403.07,1451.9
471490403.08,3360.2
471490403.09,963.7
471490403.1,1927.2
471490403.11,3146.4
471490403.12,2252.9
471490404.04,1406.0
471490404.05,1412.9
471490405.01,321.7
471490405.02,117.0
471490406.0,60.3
471490407.02,153.7
471490407.03,780.8
471490407.04,182.4
471490408.06,668.9
471490408.07,519.1
471490408.08,476.3
471490408.09,139.8
471490408.1,73.4
471490408.11,930.2
471490408.12,1578.0
471490409.01,708.3
471490409.04,2729.2
471490409.06,4146.9
471490409.07,3174.6
471490409.08,6194.2
471490409.09,4560.9
471490409.1,2548.5
471490409.11,2341.8
471490410.0,512.1
471490411.02,189.1
471490411.03,1749.2
471490411.04,982.3
471490412.01,795.3
471490412.02,508.3
471490413.01,2433.1
471490413.02,2093.4
471490414.01,2305.4
471490414.04,6239.3
471490414.05,8802.4
471490414.06,5860.4
471490414.07,3258.9
471490415.0,4131.1
471490416.01,4243.0
471490416.02,3190.0
471490417.0,2951.8
471490418.0,760.7
471490419.0,5437.0
471490420.0,2293.6
471490421.01,2589.8
471490421.02,3825.5
471490422.0,686.1
471490423.01,1291.5
471490423.02,1343.4
471530601.02,22.3
471530601.03,279.3
471530601.04,198.1
471530602.0,45.2
471599750.0,39.8
471599751.0,408.8
471599752.0,81.0
471599753.0,39.7
471599754.0,66.9
471611102.01,61.5
471611102.02,31.2
471611106.0,29.0
471611107.0,47.2
471619801.0,0.0
471619802.0,0.0
471650201.01,138.7
471650201.02,96.2
471650202.03,130.7
471650202.04,225.1
471650202.05,480.9
471650202.06,143.3
471650202.07,187.1
471650202.08,226.5
471650202.09,106.3
471650203.0,961.7
471650204.03,102.5
471650204.04,140.1
471650204.05,538.3
471650204.06,411.8
471650204.07,830.1
471650205.01,1258.9
471650205.02,551.7
471650205.03,138.5
471650206.01,82.5
471650206.02,104.5
471650206.03,145.3
471650207.0,1845.7
471650208.0,1835.4
471650209.01,149.5
471650209.03,1032.9
471650209.04,2039.3
471650209.05,2449.9
471650210.02,760.3
471650210.04,444.2
471650210.05,338.1
471650210.06,297.3
471650210.07,1398.9
471650210.08,1253.7
471650210.09,1854.6
471650211.03,2518.9
471650211.04,2493.1
471650211.05,2247.8
471650211.06,2076.3
471650211.07,3497.0
471650212.01,1889.4
471650212.03,1066.4
471650212.04,2568.6
471650212.05,1080.6
471690901.0,85.3
471690902.0,312.4
471759250.0,17.9
471759252.0,35.1
471779301.0,60.8
471779302.01,66.0
471779302.02,73.8
471779303.0,68.0
471779304.0,508.4
471779305.0,894.0
471779306.0,236.8
471779307.0,398.9
471779308.0,70.1
471779309.0,20.3
471819501.0,18.8
471819502.0,36.8
471819503.0,23.6
471819504.0,14.4
471839680.0,13.4
471839681.01,577.4
471839681.02,49.7
471839682.01,90.5
471839682.02,2306.6
471839682.03,855.2
471839683.0,43.0
471839684.0,56.8
471839685.0,44.1
471839686.0,43.2
471839687.0,15.7
471859350.0,29.6
471859351.0,74.7
471859352.0,71.1
471859353.0,213.7
471859354.0,341.6
471859355.0,84.3
471870501.02,1132.2
471870501.03,159.0
471870501.04,1388.1
471870501.05,1019.1
471870502.04,1547.9
471870502.05,1211.3
471870502.06,1254.6
471870502.07,1145.6
471870502.09,1296.8
471870502.1,1300.2
471870502.11,2238.2
471870502.12,824.2
471870503.03,1267.9
471870503.04,957.9
471870503.05,600.8
471870503.06,634.5
471870503.07,1517.6
471870504.03,372.7
471870504.04,629.2
471870504.05,211.0
471870504.06,579.9
471870505.02,56.5
471870505.03,187.3
471870505.04,924.9
471870506.01,786.0
471870506.03,2717.2
471870506.04,517.4
471870507.01,2823.3
471870507.02,974.1
471870508.01,4483.8
471870508.02,2435.6
471870509.04,2540.3
471870509.05,3407.7
471870509.06,2169.3
471870509.07,2886.5
471870509.08,1491.8
471870509.09,484.2
471870510.01,1333.5
471870510.02,590.0
471870511.0,115.0
471870512.03,43.2
471870512.04,381.2
471870512.05,1228.9
471870512.06,4179.4
471870512.07,4970.9
471870512.08,4626.9
471890301.02,94.1
471890301.03,198.8
471890301.04,190.9
471890301.05,557.2
471890302.02,577.1
471890302.03,623.4
471890302.05,238.5
471890302.06,464.9
471890302.07,260.1
471890303.03,878.4
471890303.04,947.6
471890303.05,2084.3
471890303.08,2610.1
471890303.09,1108.5
471890303.1,1272.3
471890303.11,520.0
471890304.01,1388.1
471890304.02,1422.7
471890305.0,1809.2
471890306.0,2417.8
471890307.0,859.4
471890308.0,104.5
471890309.04,55.1
471890309.05,255.6
471890309.06,433.0
471890309.07,389.1
471890309.08,3110.8
471890310.0,46.1
